epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,6135.65,1.90903,1.21085,1.33833,0.69623,0.48677,0.51364,0.24104,1.95198,1.19833,1.28931,0.0003566,0.0003566,0.0003566
85,6194.3,1.91844,1.21148,1.34017,0.70247,0.4866,0.51898,0.24231,1.95167,1.19239,1.28043,0.0003368,0.0003368,0.0003368
86,6248.97,1.90776,1.20424,1.33613,0.69354,0.49705,0.51979,0.24118,1.96193,1.1929,1.28621,0.000317,0.000317,0.000317
87,6355.57,1.90167,1.20945,1.32858,0.69372,0.48189,0.51424,0.24304,1.94268,1.19558,1.28863,0.0002972,0.0002972,0.0002972
88,6409.2,1.88072,1.20211,1.33446,0.70353,0.48609,0.51667,0.2427,1.95297,1.19543,1.28157,0.0002774,0.0002774,0.0002774
89,6463.87,1.90507,1.21258,1.33802,0.69483,0.48595,0.51612,0.2441,1.93826,1.19993,1.27519,0.0002576,0.0002576,0.0002576
90,6539.47,1.90026,1.19633,1.33286,0.7032,0.48983,0.51966,0.24339,1.94396,1.19245,1.28115,0.0002378,0.0002378,0.0002378
91,6615.71,1.89059,1.25124,1.35415,0.69604,0.4812,0.51131,0.24047,1.95422,1.20117,1.28248,0.000218,0.000218,0.000218
92,6669.48,1.8847,1.24367,1.34561,0.69896,0.48579,0.51494,0.24213,1.93551,1.20203,1.27501,0.0001982,0.0001982,0.0001982
93,6801.6,1.87953,1.23076,1.34732,0.69747,0.49439,0.51968,0.24376,1.95085,1.18351,1.28066,0.0001784,0.0001784,0.0001784
94,6858.25,1.87687,1.22852,1.3515,0.70382,0.49118,0.51975,0.24368,1.94342,1.18948,1.27548,0.0001586,0.0001586,0.0001586
95,6914.77,1.89118,1.24927,1.34746,0.70809,0.49142,0.5216,0.24428,1.94369,1.1868,1.27822,0.0001388,0.0001388,0.0001388
96,7028.63,1.87256,1.22838,1.34132,0.7089,0.4899,0.52159,0.24456,1.94763,1.18835,1.27948,0.000119,0.000119,0.000119
97,7107.9,1.87517,1.22629,1.34919,0.70921,0.49027,0.5208,0.24377,1.95504,1.18644,1.28296,9.92e-05,9.92e-05,9.92e-05
98,7170.97,1.88719,1.23387,1.34866,0.71073,0.49088,0.52253,0.24509,1.94368,1.18546,1.27711,7.94e-05,7.94e-05,7.94e-05
99,7263.13,1.87973,1.22921,1.34246,0.71714,0.48955,0.5209,0.24516,1.9426,1.18602,1.27608,5.96e-05,5.96e-05,5.96e-05
100,7320.92,1.8775,1.22448,1.34282,0.71052,0.49321,0.52231,0.24467,1.9463,1.18589,1.27781,3.98e-05,3.98e-05,3.98e-05
